Square Footage,Bedrooms,Bathrooms,Location,Garage,Swimming Pool,House Age,House Price ($)
2367,2,1,Mumbai,0,1,1,604850
2152,1,3,Visakhapatnam,2,1,46,738679
3027,2,2,Amravati,1,1,31,820525
3695,1,2,Mangalore,1,0,28,743504
2495,3,3,Kanpur,2,1,45,838884
4134,3,1,Hyderabad,0,1,37,898202
2162,3,1,Chandigarh,2,0,7,575329
2522,2,2,Siliguri,1,1,46,783336
3640,2,2,Shillong,2,0,16,803813
1391,1,2,Bardhaman,2,0,14,483628
2698,4,2,Jalandhar,0,0,33,662439
1418,1,1,Amritsar,2,1,6,505753
3336,3,3,Ludhiana,0,1,21,796298
1378,1,1,Chhapra,2,1,10,600313
2796,4,3,Malegaon,2,0,32,757017
4561,2,2,Bhiwandi,0,1,6,990877
3278,1,2,Pune,0,0,2,615084
4065,3,3,Bhavnagar,1,1,39,1024407
3088,3,2,Gurgaon,0,0,49,750267
4099,2,1,Patna,2,0,27,934492
3182,1,2,Faridabad,1,0,14,738329
1200,4,2,Bareilly,0,0,23,450414
2863,2,2,Belgaum,0,0,39,636823
1779,1,2,Vadodara,1,0,21,494641
3977,5,1,Belgaum,2,0,41,977892
4104,3,3,Siliguri,2,0,30,910119
4119,4,2,Patna,1,0,25,934827
1502,4,2,Visakhapatnam,2,0,24,543316
3454,4,1,Ghaziabad,0,0,11,765661
4645,3,1,Rampur,2,0,35,986647
2751,1,1,Ludhiana,0,1,4,684087
1804,2,2,Panchkula,2,1,37,711597
3146,1,3,Kochi,0,0,36,713162
3731,2,1,Coimbatore,1,1,13,890234
2895,4,1,Ulhasnagar,0,0,9,594634
3773,1,1,Dehradun,2,1,28,927848
2570,4,3,Belgaum,0,0,46,642941
1960,5,2,Bijapur,2,1,16,727917
4810,4,2,Kakinada,2,0,6,1071933
3660,4,2,Navi Mumbai,0,1,27,842608
2485,2,1,Karimnagar,2,0,10,605528
3690,5,2,Bangalore,1,1,23,924589
4840,4,1,Amravati,2,1,21,1134132
2028,4,3,Malegaon,1,1,26,739541
4289,5,3,Visakhapatnam,1,0,45,942141
1502,5,2,Ahmedabad,2,1,3,705071
3814,1,1,Muzaffarpur,1,1,43,935524
1397,2,1,Jodhpur,1,0,35,483769
1870,5,2,Kanpur,0,0,7,553435
3842,5,3,Bikaner,1,1,27,998948
1392,3,3,Gurgaon,1,0,42,495274
1206,5,3,Bhopal,1,1,33,602977
2038,2,3,Rampur,1,1,4,601471
2881,4,3,Delhi,1,0,26,740008
4625,4,2,Bareilly,2,1,8,1091028
3939,4,2,Panipat,1,1,20,937088
2484,4,2,Ranchi,2,0,17,674610
4762,3,3,Tirupati,2,0,5,976958
4646,5,3,Hapur,2,1,49,1152791
1863,4,2,Kakinada,0,1,9,583541
3790,1,2,Surat,0,1,8,812163
4312,4,3,Moradabad,2,0,7,995867
1563,5,1,Nanded,0,1,37,613344
2020,4,2,Chhapra,1,1,36,744942
1095,3,3,Arrah,2,1,3,603291
2923,2,3,Udupi,2,0,8,713073
2757,2,2,Bikaner,2,1,5,772099
3532,5,1,Navsari,0,1,5,899529
4478,2,3,Gurgaon,0,0,17,891787
3278,2,2,Guwahati,0,0,47,686762
3796,1,3,Bhiwandi,1,1,27,937451
2678,5,3,Mangalore,0,0,40,682081
4242,5,3,Kota,2,1,39,1169160
1540,2,3,Kottayam,0,1,49,523704
2059,2,1,Firozabad,0,0,12,437260
3572,2,2,Pune,0,1,28,855774
2183,3,2,Ambala,0,1,4,594352
4910,4,2,Warangal,2,1,28,1130286
2722,3,2,Visakhapatnam,0,1,25,710219
4314,5,2,Bardhaman,2,1,36,1141835
4157,1,1,Mangalore,0,0,42,822179
2819,4,3,Tiruchirappalli,1,1,3,799203
3625,1,3,Rampur,1,1,31,868441
3729,5,2,Noida,2,0,37,908252
3604,5,3,Hapur,2,0,12,870718
2597,1,3,Surat,1,0,37,596566
4060,1,3,Puducherry,1,0,37,850277
3693,1,2,Tirupati,0,0,4,679277
1795,5,2,Madurai,1,0,30,620614
2051,2,1,Visakhapatnam,2,0,38,592334
2643,1,2,Nashik,2,0,42,721676
4627,4,1,Bardhaman,1,1,38,1114208
2363,5,2,Kolkata,2,1,27,775652
4869,3,3,Nagpur,0,0,22,989496
2981,3,1,Muzaffarpur,0,1,1,770453
2354,4,1,Nagpur,1,1,48,750049
2663,2,1,Kadapa,2,1,43,821485
2529,1,2,Guwahati,1,1,38,727703
3038,5,1,Chandigarh,2,1,20,896564
4419,1,2,Rourkela,2,0,18,972479
2496,5,1,Bharuch,2,0,6,677454
4302,3,2,Indore,0,1,49,977104
3237,1,1,Vijayawada,2,0,12,753294
4296,4,3,Srinagar,0,1,17,1009378
2408,2,3,Pune,2,1,22,761828
2400,4,1,Belgaum,1,1,18,759668
2306,2,2,Sangli,0,0,10,548481
3680,1,2,Bijapur,0,1,24,825015
3675,1,2,Etawah,0,1,20,778874
1972,2,3,Delhi,1,1,12,676499
2768,3,3,Kanpur,0,0,4,652920
2282,5,3,Puducherry,1,1,42,785515
4430,4,2,Bokaro,2,0,5,1012005
1709,4,2,Ulhasnagar,2,1,26,720435
2479,4,2,Hyderabad,1,1,36,780489
2434,1,1,Rourkela,0,1,16,629991
1648,4,1,Surat,0,0,5,429173
1317,5,1,Jalandhar,1,1,26,560641
4748,5,3,Parbhani,2,1,19,1148026
4296,2,3,Ambala,1,1,6,948382
4890,1,2,Malegaon,0,1,24,963920
2257,5,1,Surat,0,1,31,679320
1683,3,2,Dehradun,0,1,31,527481
1663,1,1,Madurai,0,0,7,401518
2998,1,1,Rajahmundry,2,1,10,783828
4898,5,2,Nagpur,2,0,39,1137467
4445,3,2,Mathura,2,1,22,1121099
4743,2,1,Mathura,0,0,14,868057
2631,5,1,Firozabad,0,1,28,760537
2495,3,3,Mathura,0,0,42,653412
4304,1,2,Nashik,1,1,22,919700
4763,3,2,Jhansi,0,0,32,961427
2136,1,2,Ujjain,2,1,11,633137
2853,5,2,Salem,2,0,14,818767
2520,5,1,Mysore,2,1,31,784110
3489,4,3,Varanasi,1,1,44,956609
1563,4,2,Shillong,2,1,4,616226
2291,4,1,Sangli,1,0,45,592089
4581,5,1,Coimbatore,1,0,22,1013713
4878,2,1,Mangalore,1,0,29,942207
4457,5,1,Jodhpur,0,1,35,1021718
4458,3,1,Hapur,0,0,13,884536
4184,5,2,Bhubaneswar,2,1,20,1080184
2636,5,2,Mangalore,2,1,19,823360
4696,1,3,Kakinada,1,1,15,1038078
3999,1,2,Thane,0,1,26,866402
4152,1,1,Coimbatore,2,1,20,956360
1698,5,3,Kadapa,2,1,36,736933
3160,2,1,Ranchi,0,1,6,694539
1001,3,1,Bhubaneswar,1,0,15,419548
1641,3,2,Visakhapatnam,2,0,4,544038
3267,2,1,Firozabad,2,1,6,898809
2589,2,2,Delhi,0,1,2,622165
1854,3,1,Hubli,0,0,36,440954
2759,4,3,Ulhasnagar,1,1,15,797754
4296,1,1,Chhapra,1,0,12,813834
3432,1,2,Patna,2,1,40,892645
4474,3,1,Shillong,1,1,44,1028208
2661,2,2,Faridabad,2,0,41,726291
2153,4,2,Jalandhar,2,0,7,635616
2076,3,3,Salem,0,1,22,667307
2707,1,2,Kottayam,2,1,8,729026
3777,5,3,Varanasi,0,0,42,852833
2695,2,3,Muzaffarpur,2,0,11,728466
2733,5,1,Pune,2,0,2,733173
2439,3,3,Panchkula,2,1,30,845638
3294,1,2,Indore,1,0,4,654257
1835,4,2,Belgaum,1,1,25,665980
4510,5,3,Guntur,0,0,21,989229
1202,4,1,Coimbatore,2,0,25,481170
4255,1,3,Kakinada,0,0,9,843831
1122,5,3,Bikaner,0,0,8,459833
1400,4,2,Mysore,2,1,5,604016
1766,4,1,Gurgaon,1,1,46,650127
1293,5,1,Amravati,1,0,28,533749
3327,1,1,Bilaspur,0,1,2,773162
4908,4,1,Bhopal,1,1,21,1138409
3931,3,2,Ranchi,2,1,49,1074450
4681,5,1,Ulhasnagar,2,0,8,1073428
1197,2,1,Chhapra,1,0,34,371226
4029,2,1,Delhi,1,1,23,883565
2930,1,2,Bhubaneswar,0,0,15,573361
4582,3,2,Thane,1,0,27,920160
3799,4,1,Jalandhar,0,0,2,784650
3191,2,2,Moradabad,2,0,28,758390
1608,1,3,Mumbai,2,1,11,568169
4272,3,1,Jamshedpur,2,1,46,1051196
2147,3,2,Gopalpur,1,0,21,533650
1186,1,1,Chennai,1,1,42,492123
4397,1,1,Mumbai,1,1,32,948875
3511,4,2,Bhopal,0,1,32,893710
4420,1,3,Jhansi,0,1,7,887716
2794,4,1,Visakhapatnam,0,1,22,698808
1659,4,3,Jodhpur,2,0,14,634686
3811,5,2,Ambala,0,1,13,881815
4002,3,1,Bharuch,1,1,21,957452
2955,3,2,Raipur,1,0,22,656684
3450,3,2,Warangal,2,0,34,806352
2369,5,2,Navi Mumbai,1,0,10,632456
2986,4,2,Karimnagar,1,1,1,773865
2534,4,1,Navi Mumbai,1,1,1,701692
1146,1,3,Surat,0,0,24,370463
4219,5,3,Raipur,0,1,3,999088
3911,1,1,Hyderabad,1,0,31,845578
2734,5,1,Indore,1,0,43,688475
2843,1,3,Faridabad,1,1,41,741101
1488,2,3,Tiruchirappalli,1,0,13,477884
3976,3,1,Bareilly,0,1,4,907125
2959,3,2,Ahmedabad,2,0,23,789301
2663,4,1,Nanded,1,0,6,602427
3598,2,3,Bokaro,0,0,34,785705
3385,3,2,Puducherry,1,1,41,885578
3919,4,3,Hubli,2,0,18,933766
1640,2,2,Rajahmundry,0,0,36,500594
2802,3,3,Varanasi,0,0,26,672913
3520,1,2,Bhiwandi,2,1,33,918020
2969,5,1,Mangalore,2,1,33,896077
3198,2,1,Rampur,0,1,25,763501
2438,4,2,Kakinada,2,1,17,786135
4369,2,2,Puducherry,1,1,3,1000500
2634,4,1,Shillong,2,0,22,726453
1262,2,1,Kollam,2,0,49,507111
2787,4,2,Indore,0,0,35,712993
3191,3,2,Vijayawada,2,0,4,731096
3393,1,1,Noida,0,1,28,806507
1623,3,3,Gopalpur,1,0,13,510652
2016,1,1,Bhubaneswar,2,1,30,618199
4643,3,2,Indore,2,1,47,1140893
1880,3,2,Aligarh,0,1,12,543939
3049,2,3,Tiruchirappalli,0,0,3,687973
3944,5,1,Bharuch,2,1,21,1017010
2327,4,2,Kanpur,0,0,40,613452
3301,4,1,Rajahmundry,2,1,1,857770
4723,4,2,Guwahati,1,0,18,986073
1452,1,3,Etawah,2,0,13,508661
4108,4,1,Chandigarh,1,1,7,1014753
2183,4,1,Tiruchirappalli,1,1,13,642631
4062,2,3,Karimnagar,0,0,17,802398
3056,3,2,Muzaffarpur,0,0,45,690578
4304,4,2,Bhiwandi,0,1,32,997806
4170,5,1,Bangalore,0,1,29,963555
2682,4,3,Ulhasnagar,2,1,45,843185
3863,1,1,Chhapra,1,0,30,762546
3255,1,1,Bhavnagar,2,1,11,809776
2154,1,2,Patna,1,0,14,510194
1403,4,2,Arrah,1,1,10,534246
3199,2,2,Ulhasnagar,1,1,8,844194
3101,5,2,Shillong,2,1,31,972056
4191,4,2,Nellore,0,0,6,849221
2696,2,3,Surat,2,0,19,742019
4991,2,1,Bangalore,1,0,19,998514
1627,4,3,Surat,2,0,12,535160
1586,4,1,Ahmedabad,1,1,39,657192
2648,2,2,Faridabad,0,1,18,683645
2443,2,3,Amritsar,0,1,3,647293
2445,2,1,Bangalore,2,0,9,611647
1103,4,2,Udupi,0,0,6,341958
4923,2,2,Hapur,1,1,1,1067922
1253,1,3,Siliguri,1,1,42,525316
4298,4,3,Bhopal,0,0,40,911238
4183,1,3,Kochi,0,0,29,780033
3557,3,2,Bilaspur,0,0,49,786178
2496,4,1,Panchkula,2,0,35,654568
1098,3,1,Panchkula,2,1,35,617900
3200,2,3,Gopalpur,1,0,30,760055
2884,2,1,Ludhiana,2,1,35,825717
3961,5,2,Hapur,2,1,39,1098278
2919,2,1,Chennai,1,1,22,776908
1877,3,2,Kakinada,1,0,43,539106
1337,2,3,Navi Mumbai,0,1,28,515429
4777,4,1,Srinagar,0,1,18,1064979
3869,2,2,Nellore,2,1,32,956283
4234,5,3,Bhiwandi,1,0,5,901259
4791,2,3,Hyderabad,2,1,34,1108511
1956,3,3,Ambala,2,1,31,772938
2704,3,3,Agra,1,1,46,770156
1160,2,1,Bikaner,1,0,33,432256
2603,3,2,Vadodara,1,0,4,668083
3848,3,1,Davanagere,1,1,14,901480
1397,5,2,Kollam,2,1,15,632387
2300,4,3,Kota,2,0,20,693741
1815,5,1,Kadapa,2,0,20,636620
4987,1,3,Rourkela,1,0,49,1001496
2527,5,2,Jhansi,0,1,35,727099
2919,2,3,Panchkula,2,0,4,714544
2415,4,1,Agra,0,0,18,607599
2158,2,1,Ranchi,0,0,24,463520
2218,1,2,Bokaro,0,0,27,521997
1400,4,2,Jamshedpur,1,1,33,569005
1639,3,1,Ludhiana,1,0,25,540310
4104,5,1,Jhansi,2,1,5,1072178
3735,2,1,Tirupati,2,0,18,870332
1459,1,1,Delhi,1,1,45,547459
1954,3,2,Bareilly,1,1,46,681464
4954,5,1,Malegaon,0,1,20,1091074
1469,3,2,Etawah,1,1,35,615518
4446,5,1,Gandhinagar,1,0,6,932844
2045,4,1,Ghaziabad,1,1,27,689526
3797,3,3,Bikaner,1,1,28,987133
2693,3,3,Bikaner,0,1,11,711845
3085,3,1,Kochi,2,1,9,807284
3277,4,2,Davanagere,0,1,28,846774
4436,1,1,Rourkela,1,0,19,907255
1562,5,3,Chandigarh,1,1,39,619116
3485,3,1,Mangalore,2,1,21,966860
2799,4,3,Vadodara,2,1,31,871785
4354,1,1,Panchkula,2,1,42,1013545
3074,5,1,Chhapra,0,1,7,743546
1225,4,2,Muzaffarpur,2,0,37,576089
4348,5,3,Firozabad,1,0,25,936015
1797,3,3,Kottayam,1,0,28,595645
4680,1,3,Kadapa,1,1,36,1079042
3331,4,2,Jodhpur,0,1,17,779096
3926,1,1,Kolkata,2,0,26,883708
1959,3,2,Ludhiana,2,1,28,663570
2504,1,1,Puducherry,2,0,37,624079
1452,1,2,Muzaffarpur,2,1,17,600559
4067,2,2,Bijapur,1,1,49,1007538
4900,1,3,Pune,0,1,17,1066238
1815,5,2,Malegaon,2,0,33,643906
1658,4,1,Navi Mumbai,1,0,34,511776
4587,2,2,Gurgaon,1,0,23,927315
1546,4,2,Amritsar,0,0,30,454867
2215,4,1,Amritsar,2,0,27,657508
4120,3,3,Navsari,0,0,9,830625
4583,3,1,Guwahati,2,1,20,1037524
1016,2,1,Navsari,0,0,23,328530
4243,3,1,Chennai,2,0,47,928827
2243,3,2,Surat,2,0,19,684442
3205,3,2,Chandigarh,0,0,37,710835
3524,4,1,Shillong,2,1,45,958301
2069,2,1,Udupi,0,0,4,470099
4444,4,3,Bhiwandi,0,0,13,919681
3565,5,2,Jaipur,2,0,38,861221
3146,4,2,Chennai,2,0,12,784258
4963,5,2,Jalandhar,0,1,9,1036469
2768,1,2,Jhansi,1,1,15,698948
2060,1,1,Agra,0,1,21,543975
3327,5,1,Shillong,1,0,15,805574
4420,5,3,Bardhaman,1,0,49,994594
3544,4,2,Bharuch,0,0,5,699849
1301,5,2,Chandigarh,0,1,5,542079
1180,2,1,Guntur,0,1,25,436108
1606,1,3,Salem,1,0,24,525792
4170,1,1,Nashik,0,0,37,769041
1699,5,2,Firozabad,0,0,31,510511
1992,3,2,Thane,2,1,46,775394
2139,3,3,Udupi,2,0,34,629273
1190,5,1,Guwahati,2,1,41,670830
3300,2,2,Jhansi,0,1,14,787851
1980,3,2,Panchkula,0,1,27,591744
3975,5,3,Hubli,0,1,47,1003802
3006,2,2,Sangli,1,0,4,631983
2184,2,2,Amravati,1,1,23,658443
4327,4,1,Karimnagar,2,0,38,961168
4394,2,3,Hapur,1,1,46,1035434
1127,3,3,Tiruchirappalli,1,0,5,455491
3065,3,3,Jamshedpur,1,1,27,837411
2816,5,1,Kolkata,2,1,43,895855
2758,5,3,Siliguri,2,1,14,918618
3613,2,2,Gandhinagar,1,0,7,774274
1569,1,3,Raipur,0,1,46,554727
2346,4,2,Thane,2,1,45,799671
2895,1,3,Mysore,1,1,18,809369
3733,2,3,Jodhpur,0,1,32,891239
4863,2,1,Etawah,0,0,2,881606
1625,1,3,Amritsar,2,0,41,505980
4359,4,3,Chhapra,0,0,43,904499
3901,1,1,Nagpur,2,0,20,831579
2686,5,2,Rourkela,1,1,29,861528
4009,3,3,Chandigarh,2,1,43,1063477
4710,5,3,Moradabad,0,1,26,1063545
1154,3,2,Faridabad,2,0,38,518260
3537,2,1,Firozabad,2,1,1,909335
2409,4,3,Ambala,1,0,5,617161
1784,1,1,Kota,0,0,14,448638
4175,4,2,Thane,2,0,25,970477
4464,1,2,Kanpur,1,1,48,1007671
4882,5,1,Shillong,1,1,9,1097008
1245,5,2,Bhiwandi,1,1,30,622482
4247,1,2,Salem,1,0,19,864181
4110,4,3,Navi Mumbai,1,1,40,1049511
2500,1,1,Guwahati,2,1,8,703535
2705,2,3,Kadapa,2,0,16,720551
3806,5,1,Chandigarh,0,1,8,886287
1537,2,3,Puducherry,2,1,23,637944
2890,5,2,Chennai,0,0,9,660348
2841,5,1,Nashik,0,0,32,668148
1920,3,1,Shillong,0,1,37,604616
3455,2,1,Rourkela,2,0,34,789605
1524,2,1,Jaipur,1,1,46,616242
3875,3,2,Bangalore,0,1,18,867739
2529,4,2,Surat,1,0,45,680853
3950,2,2,Ambala,0,0,44,764707
4896,1,3,Thane,2,0,15,1001779
1035,3,2,Bharuch,0,0,15,365811
1684,2,3,Jhansi,2,1,29,623303
1019,4,3,Bhiwandi,1,0,23,420016
3368,2,2,Tirupati,2,0,23,804211
4847,5,2,Davanagere,1,0,1,964213
3559,1,2,Jhansi,2,0,22,806825
1399,3,3,Bharuch,0,1,7,542309
3701,5,1,Muzaffarpur,0,0,45,806120
1971,4,2,Bhavnagar,2,0,32,674709
2906,5,3,Tiruchirappalli,1,1,28,882906
3518,5,3,Nashik,1,0,32,817320
2166,4,2,Aligarh,1,1,33,755486
2115,5,3,Noida,2,1,43,760770
4425,3,2,Malegaon,2,1,13,1105591
1833,2,3,Kollam,2,1,28,698085
2823,5,1,Indore,2,0,9,751671
3774,3,3,Kolkata,1,1,48,1002126
2982,2,2,Mysore,1,0,43,734059
1853,2,1,Chennai,2,1,3,665813
1050,5,2,Ranchi,2,1,17,614969
4736,3,3,Patna,1,0,34,974712
4769,5,1,Bokaro,1,0,32,1026456
1574,4,1,Jamshedpur,0,1,9,550476
4261,2,3,Davanagere,2,0,41,951526
2148,5,1,Rourkela,0,1,48,713933
3197,2,1,Agra,1,0,1,680650
3361,3,1,Chennai,1,1,49,918177
3617,1,2,Bhiwandi,2,0,42,819995
4413,5,2,Jaipur,0,0,20,927779
3352,5,1,Bareilly,1,1,5,873523
2715,2,3,Ujjain,0,1,40,778849
1681,3,3,Bhopal,0,1,45,612542
1837,4,2,Agra,0,0,21,549601
4854,3,3,Guntur,0,0,5,900554
2077,5,1,Kanpur,0,1,4,662738
4050,4,3,Kochi,2,0,8,938821
3491,3,2,Belgaum,2,1,25,977643
3660,1,2,Thane,0,0,7,681723
4040,2,1,Warangal,2,0,37,885945
3311,3,2,Etawah,1,0,42,795065
4124,3,2,Parbhani,0,1,32,939810
2595,1,2,Srinagar,2,0,17,649707
4051,5,3,Lucknow,2,0,28,980018
4691,2,2,Jhansi,1,0,6,918118
1004,3,3,Kanpur,1,0,42,405249
2126,4,2,Ludhiana,1,1,48,722472
2219,3,2,Amritsar,1,0,42,571234
1773,2,3,Aligarh,0,0,36,458290
1876,3,3,Sangli,2,0,2,588285
1991,1,1,Nellore,2,0,31,536984
3931,3,1,Kochi,1,1,1,936757
4421,3,3,Navsari,2,0,3,960992
1046,4,2,Ahmedabad,2,0,13,440594
3914,1,1,Muzaffarpur,2,0,31,898293
3870,1,3,Ranchi,1,0,29,852867
3983,3,3,Nanded,2,1,44,1094732
4891,4,2,Tirupati,2,0,33,1107386
3703,3,3,Delhi,2,0,10,872023
1268,3,1,Tirupati,0,1,38,478149
1369,2,2,Indore,0,0,9,374222
1635,2,3,Etawah,2,1,1,663134
2129,4,3,Kanpur,2,0,44,694285
2693,5,2,Nellore,2,0,37,737445
2682,2,2,Salem,2,0,32,730568
1656,5,2,Nashik,2,0,33,657804
1119,1,1,Bangalore,2,0,2,376527
1830,2,1,Navsari,0,0,46,436960
2810,2,3,Mangalore,1,0,2,698001
4675,4,3,Tirupati,2,0,5,1038761
2081,5,2,Ghaziabad,2,0,10,679031
2974,2,3,Bokaro,2,0,38,751937
2369,2,3,Etawah,1,0,37,616074
1740,4,2,Vijayawada,2,0,2,537761
4545,4,1,Nanded,2,1,41,1142903
1116,5,1,Varanasi,1,0,42,492508
2853,1,1,Raipur,2,1,40,852908
3838,1,3,Lucknow,1,1,25,917111
2150,3,2,Bhavnagar,1,0,38,638328
4464,2,1,Warangal,2,1,37,1021523
2931,5,3,Ranchi,0,0,18,686779
2012,2,2,Firozabad,0,0,27,506476
2664,5,1,Moradabad,2,1,20,811428
2081,5,1,Raipur,1,1,34,691332
1633,5,2,Sangli,1,1,44,671362
1512,2,3,Faridabad,1,0,8,502842
4822,4,3,Arrah,2,1,4,1104257
3849,2,1,Mangalore,0,1,30,907992
2119,5,2,Ludhiana,1,1,36,729859
4709,3,3,Agra,1,0,9,983543
2141,1,2,Bharuch,2,0,41,619953
1559,5,2,Amravati,0,1,12,551643
4672,3,1,Navi Mumbai,0,1,14,1028418
